iter	Passed	Remaining
0	141	141650
1	142	70974
2	142	47412
3	142	35602
4	143	28619
5	143	23822
6	144	20471
7	145	18006
8	145	16033
9	146	14459
10	146	13133
11	146	12061
12	146	11155
13	147	10380
14	147	9710
15	148	9108
16	148	8586
17	148	8122
18	149	7714
19	149	7342
20	150	7005
21	150	6698
22	151	6420
23	151	6165
24	151	5923
25	152	5698
26	152	5500
27	153	5320
28	153	5148
29	154	4981
30	154	4830
31	154	4687
32	155	4557
33	155	4431
34	156	4315
35	156	4202
36	157	4092
37	157	3993
38	158	3896
39	158	3806
40	159	3719
41	159	3639
42	159	3556
43	160	3482
44	160	3412
45	161	3342
46	161	3275
47	162	3213
48	162	3152
49	162	3093
50	163	3036
51	163	2982
52	163	2930
53	164	2876
54	166	2856
55	166	2811
56	167	2768
57	167	2725
58	168	2683
59	168	2644
60	169	2605
61	169	2567
62	170	2530
63	170	2494
64	171	2459
65	171	2427
66	171	2394
67	172	2362
68	172	2332
69	173	2302
70	173	2273
71	174	2245
72	174	2218
73	175	2191
74	175	2165
75	176	2140
76	176	2114
77	176	2091
78	177	2067
79	177	2044
80	178	2022
81	178	1999
82	178	1977
83	179	1957
84	180	1937
85	180	1919
86	180	1899
87	181	1880
88	181	1861
89	182	1844
90	182	1826
91	183	1809
92	183	1792
93	184	1776
94	184	1759
95	185	1742
96	185	1726
97	185	1710
98	186	1695
99	186	1680
100	187	1665
101	187	1651
102	187	1635
103	188	1621
104	188	1608
105	189	1595
106	189	1582
107	190	1570
108	190	1557
109	190	1544
110	191	1534
111	191	1522
112	192	1510
113	192	1498
114	193	1487
115	193	1476
116	194	1466
117	194	1455
118	195	1444
119	195	1433
120	196	1424
121	196	1414
122	196	1404
123	197	1394
124	197	1385
125	198	1375
126	198	1366
127	199	1357
128	199	1348
129	200	1339
130	200	1330
131	201	1324
132	201	1316
133	202	1308
134	202	1299
135	203	1291
136	203	1283
137	204	1275
138	204	1266
139	204	1258
140	205	1252
141	206	1246
142	206	1238
143	207	1231
144	207	1224
145	208	1217
146	208	1210
147	209	1203
148	209	1197
149	210	1190
150	210	1183
151	210	1176
152	211	1169
153	211	1163
154	212	1158
155	212	1152
156	213	1146
157	214	1140
158	214	1134
159	214	1128
160	215	1122
161	215	1116
162	216	1110
163	216	1104
164	217	1099
165	217	1093
166	218	1088
167	218	1082
168	219	1077
169	219	1072
170	220	1066
171	220	1061
172	221	1056
173	221	1051
174	221	1046
175	222	1041
176	222	1036
177	223	1031
178	223	1026
179	224	1021
180	225	1018
181	225	1013
182	226	1009
183	226	1004
184	226	999
185	227	995
186	227	990
187	231	999
188	231	995
189	233	996
190	234	991
191	234	987
192	235	983
193	235	978
194	236	974
195	236	970
196	236	965
197	237	961
198	237	956
199	238	954
200	239	950
201	239	946
202	240	942
203	240	938
204	240	934
205	241	930
206	241	926
207	242	922
208	242	918
209	243	914
210	243	910
211	244	907
212	244	903
213	244	899
214	245	895
215	246	894
216	247	891
217	247	887
218	248	884
219	248	881
220	248	877
221	249	873
222	249	870
223	250	867
224	250	863
225	251	860
226	251	857
227	252	853
228	252	850
229	253	847
230	253	843
231	253	840
232	254	837
233	254	833
234	255	830
235	255	827
236	256	824
237	256	821
238	256	817
239	257	814
240	257	812
241	258	808
242	258	805
243	259	802
244	259	800
245	260	796
246	260	794
247	260	791
248	261	788
249	262	786
250	262	783
251	263	780
252	263	778
253	264	775
254	264	773
255	265	770
256	265	767
257	266	765
258	266	762
259	267	760
260	267	757
261	267	754
262	268	752
263	268	749
264	269	746
265	269	744
266	271	746
267	272	743
268	272	740
269	273	738
270	273	736
271	274	733
272	274	731
273	275	729
274	275	727
275	276	724
276	276	722
277	277	720
278	277	717
279	278	715
280	278	712
281	279	710
282	279	708
283	279	705
284	280	703
285	281	701
286	281	699
287	281	697
288	282	694
289	282	692
290	283	690
291	284	688
292	284	686
293	285	684
294	285	683
295	286	681
296	287	679
297	287	677
298	288	675
299	288	673
300	288	670
301	289	668
302	289	666
303	290	664
304	290	662
305	291	660
306	291	658
307	292	656
308	292	654
309	293	652
310	293	651
311	294	649
312	294	647
313	295	645
314	295	643
315	296	641
316	296	639
317	297	637
318	297	635
319	298	633
320	298	632
321	299	630
322	299	628
323	300	627
324	301	625
325	301	623
326	302	621
327	302	620
328	303	618
329	303	616
330	304	614
331	304	613
332	305	611
333	305	609
334	306	607
335	306	605
336	307	604
337	307	602
338	308	600
339	308	598
340	309	597
341	309	595
342	310	593
343	310	592
344	311	590
345	311	588
346	312	587
347	312	586
348	313	584
349	313	582
350	314	581
351	314	579
352	315	577
353	315	576
354	316	574
355	316	572
356	317	571
357	317	569
358	318	568
359	318	567
360	319	565
361	319	563
362	320	562
363	320	560
364	321	558
365	321	557
366	322	555
367	322	554
368	323	552
369	323	551
370	324	549
371	324	548
372	325	547
373	326	545
374	326	544
375	327	542
376	327	541
377	327	539
378	328	538
379	328	536
380	329	535
381	329	533
382	330	532
383	330	530
384	331	529
385	331	527
386	331	525
387	332	524
388	332	523
389	333	521
390	333	520
391	334	518
392	334	517
393	335	515
394	335	514
395	336	512
396	336	511
397	337	510
398	337	508
399	338	507
400	339	506
401	339	505
402	340	504
403	340	502
404	341	501
405	341	500
406	342	498
407	343	497
408	343	496
409	344	495
