,MONTH,PRED,DEP_ENT,NET_SALES,BUDGET_AMOUNT
0,2023-01-01,2498935.4248441127,160_155,348377.7099999999,1803054.0
1,2023-02-01,2924037.4241552786,160_155,1525791.2499999998,2406568.0
2,2023-03-01,2789838.5429697363,160_155,2648784.6100000003,3063600.0
3,2023-04-01,2880716.0079044956,160_155,1516571.0699999998,1647798.0
4,2023-05-01,2609167.8683897536,160_155,2353503.75,2748073.0
5,2023-06-01,2804307.0468796142,160_155,4064730.7600000002,2668244.0
6,2023-07-01,2866257.708801873,160_155,1216845.0700000003,3253936.0
7,2023-08-01,2649273.792506721,160_155,3781232.79,2751846.0
8,2023-09-01,2818775.5507894927,160_155,,2679796.0
9,2023-10-01,2823493.5411948874,160_155,,2893862.0
10,2023-11-01,2965208.305417561,160_155,,3729928.0
11,2023-12-01,2600593.730459596,160_155,,4453352.0
12,2023-01-01,3866646.482685384,170_155,3897568.19,4148059.0
13,2023-02-01,3125030.87953156,170_155,6929949.29,4246807.0
14,2023-03-01,3800080.00854811,170_155,4931564.41,4294388.0
15,2023-04-01,2906160.8580550374,170_155,3475834.79,4337011.0
16,2023-05-01,3244802.075060527,170_155,4453374.39,4341771.0
17,2023-06-01,3311946.1763043627,170_155,3509837.49,3962499.0
18,2023-07-01,2714980.6769549455,170_155,3788105.6600000006,4022909.0
19,2023-08-01,3204811.8965307306,170_155,2898195.0500000003,3971927.0
20,2023-09-01,2463493.069134894,170_155,,4179161.0
21,2023-10-01,3415047.310153863,170_155,,4066182.0
22,2023-11-01,2615544.7494458053,170_155,,4079737.0
23,2023-12-01,2989237.828579466,170_155,,4015308.0
24,2023-01-01,2146787.0034016045,200_155,1622113.58,2025479.0
25,2023-02-01,2285959.031451501,200_155,1728206.02,2327117.0
26,2023-03-01,2288550.4301930405,200_155,2325654.24,2980330.0
27,2023-04-01,2598057.289942922,200_155,1918474.9800000002,2413713.0
28,2023-05-01,2620894.358780075,200_155,2443940.1399999997,2287061.0
29,2023-06-01,2125113.8723595794,200_155,1748262.3,2930306.0
30,2023-07-01,2550912.6969639156,200_155,1897662.89,1699464.0
31,2023-08-01,2219758.107228091,200_155,1814696.87,2286485.0
32,2023-09-01,3216408.1186559545,200_155,,3728896.0
33,2023-10-01,1791391.8608441683,200_155,,1980287.0
34,2023-11-01,3191444.316640362,200_155,,4806032.0
35,2023-12-01,2941452.845943605,200_155,,4178062.0
36,2023-01-01,221099.65902302795,200_310,182779.607351096,277530.0
37,2023-02-01,225217.58131738962,200_310,178552.07710699333,313641.0
38,2023-03-01,237460.87679674267,200_310,226862.7697974217,259441.0
39,2023-04-01,295497.3976091976,200_310,222637.2337278106,346038.0
40,2023-05-01,271106.55793221685,200_310,296710.88560885616,262986.0
41,2023-06-01,274323.76750300697,200_310,175656.00500110319,290286.0
42,2023-07-01,239036.11613725673,200_310,201365.89176541637,229854.0
43,2023-08-01,248514.2165013943,200_310,178208.1189164717,262730.0
44,2023-09-01,266376.6171417508,200_310,,400874.0
45,2023-10-01,231608.2669973365,200_310,,274206.0
46,2023-11-01,258806.12992443182,200_310,,479747.0
47,2023-12-01,300584.8168386082,200_310,,550468.0
48,2023-01-01,3013633.383526732,210_155,4061428.5299999993,6510150.0
49,2023-02-01,3458349.6220588544,210_155,6204353.869999999,4631525.0
50,2023-03-01,6931444.007204731,210_155,5973971.859999999,6887883.0
51,2023-04-01,9715087.174820451,210_155,5560797.29,7108739.0
52,2023-05-01,4019827.725709981,210_155,4008775.4299999997,5308974.0
53,2023-06-01,4294444.7463267,210_155,2741890.2399999998,5559823.0
54,2023-07-01,2921873.8732622117,210_155,3197587.39,5004554.0
55,2023-08-01,3965448.9002191518,210_155,2417408.3200000003,5812184.0
56,2023-09-01,5522789.485,210_155,,5786571.0
57,2023-10-01,3509773.2211393984,210_155,,5239358.0
58,2023-11-01,7377048.226136237,210_155,,7036356.0
59,2023-12-01,6347576.966954117,210_155,,4009407.0
60,2023-01-01,159303.77525834768,210_165,91654.86956968223,220798.0
61,2023-02-01,186852.06111344666,210_165,206148.80014498287,338659.0
62,2023-03-01,308476.1945579923,210_165,1264241.3405994663,193983.0
63,2023-04-01,656236.0024733366,210_165,570261.6989378148,786089.0
64,2023-05-01,306062.01985032996,210_165,1098155.3470522887,526626.0
65,2023-06-01,164978.40914823348,210_165,233968.02867992863,562406.0
66,2023-07-01,71341.14203118818,210_165,343494.106207403,537277.0
67,2023-08-01,595880.2442126767,210_165,616485.4351346495,450948.0
68,2023-09-01,377152.0584003606,210_165,,538232.0
69,2023-10-01,365990.59668203106,210_165,,795803.0
70,2023-11-01,594858.3021703786,210_165,,580290.0
71,2023-12-01,412780.331253287,210_165,,537239.0
72,2023-01-01,334314.54690960445,210_310,-174973.31892833326,355862.0
73,2023-02-01,276907.0218804458,210_310,487324.4934010754,464085.0
74,2023-03-01,365397.207150626,210_310,-2518.856473665207,490025.0
75,2023-04-01,598489.943143969,210_310,1184231.2908076923,907541.0
76,2023-05-01,526343.0029636646,210_310,2030026.428044281,502114.0
77,2023-06-01,1930207.694902759,210_310,1310083.4522321103,1877694.0
78,2023-07-01,331008.59964043205,210_310,107516.85780058842,489226.0
79,2023-08-01,282320.71300708153,210_310,-1086593.1487210437,471029.0
80,2023-09-01,348820.12286061025,210_310,,2612354.0
81,2023-10-01,468253.05910382577,210_310,,1948693.0
82,2023-11-01,658232.1688246214,210_310,,917649.0
83,2023-12-01,438246.6808180032,210_310,,987538.0
84,2023-01-01,3592754.1998450137,220_155,383548.07999999996,571537.0
85,2023-02-01,798945.5287687425,220_155,-152305.69,232217.0
86,2023-03-01,962920.3122865442,220_155,399579.35000000003,750950.0
87,2023-04-01,664112.4860121289,220_155,2702366.44,109094.0
88,2023-05-01,890259.7724055308,220_155,1286710.9700000002,673519.0
89,2023-06-01,829589.8246384924,220_155,98452.84999999995,212390.0
90,2023-07-01,766122.351029991,220_155,1561945.4099999997,33860.0
91,2023-08-01,859631.3664792808,220_155,225759.28000000003,2515985.0
92,2023-09-01,691222.115203245,220_155,,449519.0
93,2023-10-01,947575.2155036739,220_155,,3600383.0
94,2023-11-01,702420.345848442,220_155,,2035012.0
95,2023-12-01,787498.5054514447,220_155,,130069.0
96,2023-01-01,63743.97946484131,220_310,34080.109233153744,114912.0
97,2023-02-01,87397.50352450719,220_310,-3809.279736999401,
98,2023-03-01,95775.64397990282,220_310,-14360.640883977898,35095.0
99,2023-04-01,96091.0841555277,220_310,-965.6730769230767,261010.0
100,2023-05-01,63743.97946484131,220_310,76550.8044280443,
101,2023-06-01,56944.547306117885,220_310,-1226.7559020372141,281.0
102,2023-07-01,56944.547306117885,220_310,134507.95531738253,
103,2023-08-01,97332.49387895458,220_310,-4881.377801252545,
104,2023-09-01,63743.97946484131,220_310,,276058.0
105,2023-10-01,97953.19874066804,220_310,,
106,2023-11-01,56944.547306117885,220_310,,309389.0
107,2023-12-01,98573.9036023815,220_310,,35473.0
108,2023-01-01,4958732.595886014,240_155,4129765.0700000008,5216550.0
109,2023-02-01,4883539.456589383,240_155,5235253.75,5333064.0
110,2023-03-01,5442402.343608652,240_155,5939778.529999999,7183387.0
111,2023-04-01,5665176.197635186,240_155,5453369.36,9731791.0
112,2023-05-01,5470094.432917958,240_155,12676724.6,10834189.0
113,2023-06-01,5143077.7190630315,240_155,15166230.919999998,12518042.0
114,2023-07-01,5198268.8704639105,240_155,7945616.329999999,8322015.0
115,2023-08-01,5034813.547752507,240_155,14853664.729999997,5446687.0
116,2023-09-01,4822011.934956054,240_155,,5373043.0
117,2023-10-01,4792185.271649412,240_155,,5376636.0
118,2023-11-01,4595625.094108039,240_155,,5295121.0
119,2023-12-01,4613039.36827641,240_155,,5313648.0
120,2023-01-01,4510695.3000244405,250_155,2447080.58,5207904.0
121,2023-02-01,5273826.619547285,250_155,2383992.3400000003,5919467.0
