,MONTH,PRED,DEP_ENT,NET_SALES,BUDGET_AMOUNT
0,2023-01-01,2526378.812887006,160_155,348377.71,1803054.0
1,2023-02-01,2794678.2391558974,160_155,1525791.25,2406568.0
2,2023-03-01,2204136.1528101135,160_155,2648784.6100000003,3063600.0
3,2023-04-01,3068261.7179236156,160_155,1516571.07,1647798.0
4,2023-05-01,2238778.5018287725,160_155,2353503.7500000005,2748073.0
5,2023-06-01,2931826.476258997,160_155,4064730.7600000007,2668244.0
6,2023-07-01,2523313.666979934,160_155,1216845.0699999998,3253936.0
7,2023-08-01,2820767.0916643925,160_155,3787607.79,2751846.0
8,2023-09-01,2825235.3481713724,160_155,170568.0,2679796.0
9,2023-10-01,2459796.2738578306,160_155,,2893862.0
10,2023-11-01,2968661.198814506,160_155,,3729928.0
11,2023-12-01,2207583.381409487,160_155,,4453352.0
12,2023-01-01,3461719.766582325,170_155,3897568.1899999995,4148059.0
13,2023-02-01,3562929.677824244,170_155,6929949.29,4246807.0
14,2023-03-01,3577754.87348149,170_155,4931564.409999999,4294388.0
15,2023-04-01,3294472.431409467,170_155,3475834.7899999996,4337011.0
16,2023-05-01,3515783.6197373155,170_155,4453374.39,4341771.0
17,2023-06-01,3375234.0723704104,170_155,3509837.4900000007,3962499.0
18,2023-07-01,3281689.9374745623,170_155,3788105.659999999,4022909.0
19,2023-08-01,3312347.9666553647,170_155,2969580.5699999994,3971927.0
20,2023-09-01,3324958.0937126777,170_155,150782.21999999997,4179161.0
21,2023-10-01,3165456.8928370033,170_155,,4066182.0
22,2023-11-01,3273075.018863533,170_155,,4079737.0
23,2023-12-01,3322432.8585429923,170_155,,4015308.0
24,2023-01-01,2343376.006789273,200_155,1622113.5800000003,2025479.0
25,2023-02-01,2034652.4015667713,200_155,1728206.0200000003,2327117.0
26,2023-03-01,2341605.5285759517,200_155,2325654.24,2980330.0
27,2023-04-01,2631669.9599071704,200_155,1918474.98,2413713.0
28,2023-05-01,2638336.3036527303,200_155,2443940.14,2287061.0
29,2023-06-01,2224523.4835842005,200_155,1748262.3,2930306.0
30,2023-07-01,2208850.465237621,200_155,1897662.8900000001,1699464.0
31,2023-08-01,2426926.901904201,200_155,1844884.3800000004,2286485.0
