,MONTH,PRED,DEP_ENT,NET_SALES
0,2023-09-01,830656.1805996464,ACCESSORIES,143067.02515482967
1,2023-10-01,831298.4049010621,ACCESSORIES,
2,2023-11-01,831962.0366791919,ACCESSORIES,
3,2023-12-01,832604.2609806077,ACCESSORIES,
4,2024-01-01,829852.1919005518,ACCESSORIES,
5,2024-02-01,833931.5245368672,ACCESSORIES,
6,2024-03-01,834552.3413615691,ACCESSORIES,
7,2024-04-01,835215.9731396988,ACCESSORIES,
8,2024-05-01,835858.1974411147,ACCESSORIES,
9,2024-06-01,836521.8292192444,ACCESSORIES,
10,2024-07-01,837644.5134243974,ACCESSORIES,
11,2024-08-01,838971.7769806569,ACCESSORIES,
12,2024-09-01,840299.0405369163,ACCESSORIES,
13,2024-10-01,841174.2373825957,ACCESSORIES,
14,2024-11-01,841837.8691607255,ACCESSORIES,
15,2024-12-01,842480.0934621412,ACCESSORIES,
16,2023-09-01,3595931.7567163296,ASCENT SERIES,1290436.2100691234
17,2023-10-01,3808700.0672596055,ASCENT SERIES,
18,2023-11-01,3889392.071454872,ASCENT SERIES,
19,2023-12-01,3488835.674257492,ASCENT SERIES,
20,2024-01-01,3713286.3255422623,ASCENT SERIES,
21,2024-02-01,3297260.955519419,ASCENT SERIES,
22,2024-03-01,3776877.9406034052,ASCENT SERIES,
23,2024-04-01,3280867.9727551467,ASCENT SERIES,
24,2024-05-01,3267875.7822073344,ASCENT SERIES,
25,2024-06-01,3508207.3656852455,ASCENT SERIES,
26,2024-07-01,3520367.8461352256,ASCENT SERIES,
27,2024-08-01,3826090.511068464,ASCENT SERIES,
28,2024-09-01,3301719.124869215,ASCENT SERIES,
29,2024-10-01,4103632.0532230996,ASCENT SERIES,
30,2024-11-01,3387125.3926531128,ASCENT SERIES,
31,2024-12-01,3355205.369668637,ASCENT SERIES,
32,2023-09-01,0.0,BLENDING STATION,
33,2023-10-01,0.0,BLENDING STATION,
34,2023-11-01,0.0,BLENDING STATION,
35,2023-12-01,0.0,BLENDING STATION,
36,2024-01-01,0.0,BLENDING STATION,
37,2024-02-01,0.0,BLENDING STATION,
38,2024-03-01,0.0,BLENDING STATION,
39,2024-04-01,0.0,BLENDING STATION,
40,2024-05-01,0.0,BLENDING STATION,
41,2024-06-01,0.0,BLENDING STATION,
42,2024-07-01,0.0,BLENDING STATION,
43,2024-08-01,0.0,BLENDING STATION,
44,2024-09-01,0.0,BLENDING STATION,
45,2024-10-01,0.0,BLENDING STATION,
46,2024-11-01,0.0,BLENDING STATION,
47,2024-12-01,0.0,BLENDING STATION,
48,2023-09-01,3186857.5074285218,C SERIES,3134906.6456425986
49,2023-10-01,3206143.7617447767,C SERIES,
50,2023-11-01,3213068.2193982624,C SERIES,
51,2023-12-01,3219443.873335647,C SERIES,
52,2024-01-01,2855488.841025175,C SERIES,
53,2024-02-01,3232601.478101674,C SERIES,
54,2024-03-01,3238755.7244734075,C SERIES,
55,2024-04-01,3245334.4014494843,C SERIES,
56,2024-05-01,3251700.8630349115,C SERIES,
57,2024-06-01,3258279.540006394,C SERIES,
58,2024-07-01,3264646.0015916997,C SERIES,
59,2024-08-01,3271224.6785631827,C SERIES,
60,2024-09-01,3277803.3555346653,C SERIES,
61,2024-10-01,3284169.817119971,C SERIES,
62,2024-11-01,3290748.4940914535,C SERIES,
63,2024-12-01,3297114.9556767605,C SERIES,
64,2023-09-01,95001.4331369222,CHARGE,33319.63801123347
65,2023-10-01,94350.81857043313,CHARGE,
66,2023-11-01,94350.81857043313,CHARGE,
67,2023-12-01,94350.81857043313,CHARGE,
68,2024-01-01,94350.81857043313,CHARGE,
69,2024-02-01,94350.81857043313,CHARGE,
70,2024-03-01,94350.81857043313,CHARGE,
71,2024-04-01,94350.81857043313,CHARGE,
72,2024-05-01,94350.81857043313,CHARGE,
73,2024-06-01,94350.81857043313,CHARGE,
74,2024-07-01,94350.81857043313,CHARGE,
75,2024-08-01,94350.81857043313,CHARGE,
76,2024-09-01,94350.81857043313,CHARGE,
77,2024-10-01,94350.81857043313,CHARGE,
78,2024-11-01,94304.81328227269,CHARGE,
79,2024-12-01,94350.81857043313,CHARGE,
80,2023-02-01,101.54377764251349,CLASS,
81,2023-03-01,93.79688909656285,CLASS,
82,2023-04-01,85.9862883729704,CLASS,
83,2023-05-01,78.6555026468965,CLASS,
84,2023-06-01,71.64022935509048,CLASS,
85,2023-07-01,65.14882825383123,CLASS,
86,2023-08-01,58.722105023508846,CLASS,
87,2023-09-01,52.697960046107454,CLASS,
88,2023-10-01,47.12013459297418,CLASS,
89,2023-11-01,41.53240437899074,CLASS,
90,2023-12-01,36.44265735527322,CLASS,
91,2024-01-01,36.845770250773086,CLASS,
92,2024-02-01,31.98704896288662,CLASS,
93,2024-03-01,27.627305128825867,CLASS,
94,2024-04-01,23.68310294132789,CLASS,
95,2024-05-01,25.270880819811538,CLASS,
96,2023-09-01,3318006.9992084126,CONTAINER,857509.0491097685
97,2023-10-01,3607592.7778783827,CONTAINER,
98,2023-11-01,3334511.8050988023,CONTAINER,
99,2023-12-01,3226490.412501609,CONTAINER,
100,2024-01-01,3343440.670911893,CONTAINER,
101,2024-02-01,3294478.4132737187,CONTAINER,
102,2024-03-01,3312276.8350191195,CONTAINER,
103,2024-04-01,3368576.5537917977,CONTAINER,
104,2024-05-01,3355266.8063473227,CONTAINER,
105,2024-06-01,3278956.448620193,CONTAINER,
106,2024-07-01,3390757.025546337,CONTAINER,
107,2024-08-01,3321762.175990566,CONTAINER,
108,2024-09-01,3648792.4894464114,CONTAINER,
109,2024-10-01,3426832.876850639,CONTAINER,
110,2024-11-01,3309657.8760184925,CONTAINER,
111,2024-12-01,3628664.0704713953,CONTAINER,
112,2023-09-01,0.0,CORE,0.0
113,2023-10-01,0.0,CORE,
114,2023-11-01,0.0,CORE,
115,2023-12-01,0.0,CORE,
116,2024-01-01,0.0,CORE,
117,2024-02-01,0.0,CORE,
118,2024-03-01,0.0,CORE,
119,2024-04-01,0.0,CORE,
120,2024-05-01,0.0,CORE,
121,2024-06-01,0.0,CORE,
122,2024-07-01,0.0,CORE,
123,2024-08-01,0.0,CORE,
124,2024-09-01,0.0,CORE,
125,2024-10-01,0.0,CORE,
126,2024-11-01,0.0,CORE,
127,2024-12-01,0.0,CORE,
128,2023-09-01,9525307.533334075,EXPLORIAN SERIES,1157360.9462762182
129,2023-10-01,10454626.040949916,EXPLORIAN SERIES,
130,2023-11-01,13553234.313258281,EXPLORIAN SERIES,
131,2023-12-01,7565520.12547435,EXPLORIAN SERIES,
132,2024-01-01,6913160.400883276,EXPLORIAN SERIES,
133,2024-02-01,7477403.386975013,EXPLORIAN SERIES,
134,2024-03-01,9924191.214028016,EXPLORIAN SERIES,
135,2024-04-01,10458772.642864784,EXPLORIAN SERIES,
136,2024-05-01,7660890.854883452,EXPLORIAN SERIES,
137,2024-06-01,8364657.243713233,EXPLORIAN SERIES,
138,2024-07-01,6965398.584087309,EXPLORIAN SERIES,
139,2024-08-01,6427973.701645036,EXPLORIAN SERIES,
140,2024-09-01,8849707.591615316,EXPLORIAN SERIES,
141,2024-10-01,9106391.57528285,EXPLORIAN SERIES,
142,2024-11-01,13439836.35167299,EXPLORIAN SERIES,
143,2024-12-01,8811015.095591685,EXPLORIAN SERIES,
144,2023-09-01,383276.2991426632,FOOD CYCLER,93815.1116258961
145,2023-10-01,375781.36089883855,FOOD CYCLER,
146,2023-11-01,391360.1052917763,FOOD CYCLER,
147,2023-12-01,406936.6180931418,FOOD CYCLER,
148,2024-01-01,196451.16457641145,FOOD CYCLER,
149,2024-02-01,277268.7559313639,FOOD CYCLER,
150,2024-03-01,351031.2093747661,FOOD CYCLER,
151,2024-04-01,371736.8821674593,FOOD CYCLER,
152,2024-05-01,394422.118717923,FOOD CYCLER,
153,2024-06-01,399190.44735032594,FOOD CYCLER,
154,2024-07-01,399381.6488124425,FOOD CYCLER,
155,2024-08-01,399205.0538564822,FOOD CYCLER,
156,2024-09-01,397557.8960945742,FOOD CYCLER,
157,2024-10-01,396358.1820060539,FOOD CYCLER,
158,2024-11-01,395258.3861383518,FOOD CYCLER,
159,2024-12-01,394153.1202341572,FOOD CYCLER,
160,2023-09-01,246232.16777409002,FOOD PROCESSOR,109136.26748799055
161,2023-10-01,216130.94219900316,FOOD PROCESSOR,
162,2023-11-01,270619.25696807157,FOOD PROCESSOR,
163,2023-12-01,300164.4326781633,FOOD PROCESSOR,
164,2024-01-01,115223.15304987179,FOOD PROCESSOR,
165,2024-02-01,126738.75207542886,FOOD PROCESSOR,
166,2024-03-01,123167.99133123574,FOOD PROCESSOR,
167,2024-04-01,141729.41391800364,FOOD PROCESSOR,
168,2024-05-01,154386.38085823195,FOOD PROCESSOR,
169,2024-06-01,89807.96825904645,FOOD PROCESSOR,
170,2024-07-01,127389.78288735193,FOOD PROCESSOR,
171,2024-08-01,125309.02260845629,FOOD PROCESSOR,
172,2024-09-01,255057.46135011094,FOOD PROCESSOR,
173,2024-10-01,224053.84445203317,FOOD PROCESSOR,
174,2024-11-01,286437.79751840216,FOOD PROCESSOR,
175,2024-12-01,318228.7341725896,FOOD PROCESSOR,
176,2023-09-01,501671.5018815899,G SERIES,361751.5263040426
177,2023-10-01,942635.5840221518,G SERIES,
178,2023-11-01,691820.9390552872,G SERIES,
179,2023-12-01,225909.54251078874,G SERIES,
180,2024-01-01,214270.5970190151,G SERIES,
181,2024-02-01,212248.87108790205,G SERIES,
182,2024-03-01,210361.3511380049,G SERIES,
183,2024-04-01,197864.43387673347,G SERIES,
184,2024-05-01,182827.25619560742,G SERIES,
185,2024-06-01,167911.7571323615,G SERIES,
186,2024-07-01,470648.09797149105,G SERIES,
187,2024-08-01,209841.9424633449,G SERIES,
188,2024-09-01,341521.6254088157,G SERIES,
189,2024-10-01,754987.3420440542,G SERIES,
190,2024-11-01,559207.3975808416,G SERIES,
191,2024-12-01,126030.95012456452,G SERIES,
192,2023-09-01,625899.6598787955,IMMERSION BLENDER,135580.90556499886
193,2023-10-01,784650.3728494728,IMMERSION BLENDER,
194,2023-11-01,776973.2493930174,IMMERSION BLENDER,
195,2023-12-01,779742.2997845361,IMMERSION BLENDER,
196,2024-01-01,817543.248318104,IMMERSION BLENDER,
197,2024-02-01,701563.3007985572,IMMERSION BLENDER,
198,2024-03-01,721788.5406272,IMMERSION BLENDER,
199,2024-04-01,679646.649354611,IMMERSION BLENDER,
200,2024-05-01,691762.1005130037,IMMERSION BLENDER,
201,2024-06-01,676409.5577333634,IMMERSION BLENDER,
202,2024-07-01,731958.4517425359,IMMERSION BLENDER,
203,2024-08-01,665724.1666539905,IMMERSION BLENDER,
204,2024-09-01,820133.8316641044,IMMERSION BLENDER,
205,2024-10-01,721026.060347741,IMMERSION BLENDER,
206,2024-11-01,781546.3023989339,IMMERSION BLENDER,
207,2024-12-01,898561.4576405147,IMMERSION BLENDER,
208,2023-09-01,138.8264021196242,MERCHANDISING,425.0
209,2023-10-01,138.8264021196242,MERCHANDISING,
210,2023-11-01,138.8264021196242,MERCHANDISING,
211,2023-12-01,138.8264021196242,MERCHANDISING,
212,2024-01-01,138.8264021196242,MERCHANDISING,
213,2024-02-01,138.8264021196242,MERCHANDISING,
214,2024-03-01,138.8264021196242,MERCHANDISING,
215,2024-04-01,138.8264021196242,MERCHANDISING,
216,2024-05-01,138.8264021196242,MERCHANDISING,
217,2024-06-01,138.8264021196242,MERCHANDISING,
218,2024-07-01,138.8264021196242,MERCHANDISING,
219,2024-08-01,138.8264021196242,MERCHANDISING,
220,2024-09-01,138.8264021196242,MERCHANDISING,
221,2024-10-01,138.8264021196242,MERCHANDISING,
222,2024-11-01,138.8264021196242,MERCHANDISING,
223,2024-12-01,138.8264021196242,MERCHANDISING,
224,2023-09-01,201761.86647916972,MIX MACHINE,109775.77000000002
225,2023-10-01,194781.362094858,MIX MACHINE,
226,2023-11-01,187156.661957066,MIX MACHINE,
227,2023-12-01,194253.73017389368,MIX MACHINE,
228,2024-01-01,171651.59648976693,MIX MACHINE,
229,2024-02-01,194503.56946247694,MIX MACHINE,
230,2024-03-01,192563.746276597,MIX MACHINE,
231,2024-04-01,214562.16083607887,MIX MACHINE,
232,2024-05-01,227038.25861720374,MIX MACHINE,
233,2024-06-01,227038.25861720374,MIX MACHINE,
234,2024-07-01,227038.25861720374,MIX MACHINE,
235,2024-08-01,227038.25861720374,MIX MACHINE,
236,2024-09-01,227038.25861720374,MIX MACHINE,
237,2024-10-01,227038.25861720374,MIX MACHINE,
238,2024-11-01,227038.25861720374,MIX MACHINE,
239,2024-12-01,227038.25861720374,MIX MACHINE,
240,2023-09-01,0.0,PBS,
241,2023-10-01,0.0,PBS,
242,2023-11-01,0.0,PBS,
243,2023-12-01,0.0,PBS,
244,2024-01-01,0.0,PBS,
245,2024-02-01,0.0,PBS,
246,2024-03-01,0.0,PBS,
247,2024-04-01,0.0,PBS,
248,2024-05-01,0.0,PBS,
249,2024-06-01,0.0,PBS,
250,2024-07-01,0.0,PBS,
251,2024-08-01,0.0,PBS,
252,2024-09-01,0.0,PBS,
253,2024-10-01,0.0,PBS,
254,2024-11-01,0.0,PBS,
255,2024-12-01,0.0,PBS,
256,2023-09-01,188302.39615671063,PCA,25159.746063114333
257,2023-10-01,188306.19626246043,PCA,
258,2023-11-01,188309.90330524696,PCA,
259,2023-12-01,188313.71028450457,PCA,
260,2024-01-01,188317.42439735724,PCA,
261,2024-02-01,188321.1420784196,PCA,
262,2024-03-01,188325.05530394887,PCA,
263,2024-04-01,188328.7798442781,PCA,
264,2024-05-01,188332.60367932494,PCA,
265,2024-06-01,188336.33513042715,PCA,
266,2024-07-01,188340.1656229522,PCA,
267,2024-08-01,188343.90392226304,PCA,
268,2024-09-01,188347.64567807948,PCA,
269,2024-10-01,188351.48609780933,PCA,
270,2024-11-01,188355.23460891456,PCA,
271,2024-12-01,188359.08153657272,PCA,
272,2023-09-01,0.0,PHANTOM,0.0
273,2023-10-01,0.0,PHANTOM,
274,2023-11-01,0.0,PHANTOM,
275,2023-12-01,0.0,PHANTOM,
276,2024-01-01,0.0,PHANTOM,
277,2024-02-01,0.0,PHANTOM,
278,2024-03-01,0.0,PHANTOM,
279,2024-04-01,0.0,PHANTOM,
280,2024-05-01,0.0,PHANTOM,
281,2024-06-01,0.0,PHANTOM,
282,2024-07-01,0.0,PHANTOM,
283,2024-08-01,0.0,PHANTOM,
284,2024-09-01,0.0,PHANTOM,
285,2024-10-01,0.0,PHANTOM,
286,2024-11-01,0.0,PHANTOM,
287,2024-12-01,0.0,PHANTOM,
288,2023-09-01,0.0,RAW MATERIAL,12283.286896755599
289,2023-10-01,0.0,RAW MATERIAL,
290,2023-11-01,0.0,RAW MATERIAL,
291,2023-12-01,0.0,RAW MATERIAL,
292,2024-01-01,0.0,RAW MATERIAL,
293,2024-02-01,0.0,RAW MATERIAL,
294,2024-03-01,0.0,RAW MATERIAL,
295,2024-04-01,0.0,RAW MATERIAL,
296,2024-05-01,0.0,RAW MATERIAL,
297,2024-06-01,0.0,RAW MATERIAL,
298,2024-07-01,0.0,RAW MATERIAL,
299,2024-08-01,0.0,RAW MATERIAL,
300,2024-09-01,0.0,RAW MATERIAL,
301,2024-10-01,0.0,RAW MATERIAL,
302,2024-11-01,0.0,RAW MATERIAL,
303,2024-12-01,0.0,RAW MATERIAL,
304,2023-09-01,124170.64340650577,RECON ASCENT,52183.38291774445
305,2023-10-01,124512.06871993568,RECON ASCENT,
306,2023-11-01,124889.01804761896,RECON ASCENT,
307,2023-12-01,125293.5709976305,RECON ASCENT,
308,2024-01-01,125733.64796189536,RECON ASCENT,
309,2024-02-01,126205.28874445103,RECON ASCENT,
310,2024-03-01,126700.57295337242,RECON ASCENT,
311,2024-04-01,127235.34137250969,RECON ASCENT,
312,2024-05-01,127797.71341397523,RECON ASCENT,
313,2024-06-01,128395.60946969411,RECON ASCENT,
314,2024-07-01,129021.10914774126,RECON ASCENT,
315,2024-08-01,129682.13284004176,RECON ASCENT,
316,2024-09-01,130374.72035063303,RECON ASCENT,
317,2024-10-01,131094.9114835526,RECON ASCENT,
318,2024-11-01,131850.62663072548,RECON ASCENT,
319,2024-12-01,132633.94540022666,RECON ASCENT,
320,2023-09-01,111019.36474156793,RECON C SERIES,58824.54316901928
321,2023-10-01,111189.283671329,RECON C SERIES,
322,2023-11-01,111364.86656541546,RECON C SERIES,
