,MONTH,PRED,DEP_ENT,NET_SALES,BUDGET_AMOUNT
0,2023-01-01,2790209.9826489175,160_155,348377.70999999996,1803054.0
1,2023-02-01,2794678.2391558974,160_155,1525791.2499999998,2406568.0
2,2023-03-01,2798714.083742847,160_155,2648784.61,3063600.0
3,2023-04-01,2803182.340249827,160_155,1516571.07,1647798.0
4,2023-05-01,2807506.45945013,160_155,2353503.75,2748073.0
5,2023-06-01,2811974.71595711,160_155,4064730.7600000007,2668244.0
6,2023-07-01,2816298.835157413,160_155,1216845.0699999998,3253936.0
7,2023-08-01,2820767.091664393,160_155,,2751846.0
8,2023-09-01,2825235.348171373,160_155,,2679796.0
9,2023-10-01,2829559.467371676,160_155,,2893862.0
10,2023-11-01,2834027.7238786556,160_155,,3729928.0
11,2023-12-01,2838351.843078959,160_155,,4453352.0
12,2023-01-01,3182293.7875804403,170_155,3897568.19,4148059.0
13,2023-02-01,2435336.119685207,170_155,6929949.29,4246807.0
14,2023-03-01,3779892.841697414,170_155,4931564.41,4294388.0
15,2023-04-01,3058670.6857088967,170_155,3475834.7899999996,4337011.0
16,2023-05-01,3314709.6029910585,170_155,4453374.390000001,4341771.0
17,2023-06-01,3084324.334345655,170_155,3509837.49,3962499.0
18,2023-07-01,2426468.4609118225,170_155,3788105.6600000006,4022909.0
19,2023-08-01,2848718.8244879264,170_155,,3971927.0
20,2023-09-01,2183307.7519386364,170_155,,4179161.0
21,2023-10-01,3427126.6508324137,170_155,,4066182.0
22,2023-11-01,1983048.666636915,170_155,,4079737.0
23,2023-12-01,1935585.4325536666,170_155,,4015308.0
24,2023-01-01,1984644.6988098964,200_155,1622113.58,2025479.0
25,2023-02-01,2326894.137102276,200_155,1728206.02,2327117.0
26,2023-03-01,2239062.533791255,200_155,2325654.24,2980330.0
27,2023-04-01,2391565.432764933,200_155,1918474.9800000002,2413713.0
28,2023-05-01,2273665.2628118074,200_155,2443940.14,2287061.0
29,2023-06-01,1711571.509892821,200_155,1748262.3000000005,2930306.0
30,2023-07-01,2493279.625270822,200_155,1897662.8899999997,1699464.0
31,2023-08-01,1951079.5189014608,200_155,,2286485.0
32,2023-09-01,3740043.008626241,200_155,,3728896.0
33,2023-10-01,1354121.145680844,200_155,,1980287.0
34,2023-11-01,4097391.5843129684,200_155,,4806032.0
35,2023-12-01,2909827.120818178,200_155,,4178062.0
36,2023-01-01,257695.81987449425,200_310,182779.60735109603,277530.0
37,2023-02-01,254129.16648945585,200_310,178552.07710699333,313641.0
38,2023-03-01,218076.21871495247,200_310,226862.7697974217,259441.0
39,2023-04-01,212560.02282071894,200_310,222637.2337278106,346038.0
40,2023-05-01,271847.61866656016,200_310,296710.88560885616,262986.0
41,2023-06-01,241368.57199366254,200_310,175656.0050011032,290286.0
42,2023-07-01,200494.93119528578,200_310,201365.89176541637,229854.0
43,2023-08-01,222430.36823965213,200_310,,262730.0
44,2023-09-01,312981.18109255214,200_310,,400874.0
45,2023-10-01,238828.57491096863,200_310,,274206.0
46,2023-11-01,254882.78408801474,200_310,,479747.0
47,2023-12-01,270237.6806100419,200_310,,550468.0
48,2023-01-01,809382.6078131106,210_155,4061428.5299999984,6510150.0
49,2023-02-01,1929993.9346145336,210_155,6204353.87,4631525.0
50,2023-03-01,5018418.506945961,210_155,5973971.860000001,6887883.0
51,2023-04-01,11479419.992751079,210_155,5560797.289999999,7108739.0
52,2023-05-01,331751.7219954184,210_155,4008775.43,5308974.0
53,2023-06-01,1766285.6726278118,210_155,2741890.24,5559823.0
54,2023-07-01,491942.7005739617,210_155,3197587.390000001,5004554.0
55,2023-08-01,3994267.898583129,210_155,,5812184.0
56,2023-09-01,3025996.084251346,210_155,,5786571.0
57,2023-10-01,2374855.8697775216,210_155,,5239358.0
58,2023-11-01,8085919.135270514,210_155,,7036356.0
59,2023-12-01,5679873.114817179,210_155,,4009407.0
60,2023-01-01,17070.171078887477,210_165,91654.86956968207,220798.0
61,2023-02-01,182842.8186433717,210_165,206148.80014498287,338659.0
62,2023-03-01,281610.88709197275,210_165,1264241.3405994666,193983.0
63,2023-04-01,705868.3421036301,210_165,570261.6989378148,786089.0
64,2023-05-01,217277.4404731583,210_165,1098155.3470522887,526626.0
65,2023-06-01,176834.7027128062,210_165,233968.02867992863,562406.0
66,2023-07-01,22719.288158719806,210_165,343494.106207403,537277.0
67,2023-08-01,594761.0053602705,210_165,,450948.0
68,2023-09-01,471954.41706198757,210_165,,538232.0
69,2023-10-01,337951.47765444074,210_165,,795803.0
70,2023-11-01,628634.7364908165,210_165,,580290.0
71,2023-12-01,416209.40200339875,210_165,,537239.0
72,2023-01-01,1153319.6408922,210_310,-174973.3189283333,355862.0
73,2023-02-01,1195718.7940197506,210_310,487324.4934010754,464085.0
74,2023-03-01,1213049.0036057145,210_310,-2518.8564736652243,490025.0
75,2023-04-01,1346324.6285517816,210_310,1184231.290807692,907541.0
76,2023-05-01,1270057.1924964273,210_310,2030026.428044281,502114.0
77,2023-06-01,3022739.5923476666,210_310,1310083.45223211,1877694.0
78,2023-07-01,1109305.498131913,210_310,107516.85780058839,489226.0
79,2023-08-01,1028981.3957509192,210_310,,471029.0
80,2023-09-01,1099758.146586785,210_310,,2612354.0
81,2023-10-01,1561738.7906466404,210_310,,1948693.0
82,2023-11-01,1597610.7146355347,210_310,,917649.0
83,2023-12-01,1312789.3711630844,210_310,,987538.0
84,2023-01-01,3077276.7938430067,220_155,383548.07999999996,571537.0
85,2023-02-01,223234.50307007914,220_155,-152305.69000000006,232217.0
86,2023-03-01,0.0,220_155,399579.35,750950.0
87,2023-04-01,153829.3202942944,220_155,2702366.44,109094.0
88,2023-05-01,775675.8527331416,220_155,1286710.9700000002,673519.0
89,2023-06-01,603589.4096687187,220_155,98452.84999999996,212390.0
90,2023-07-01,418171.48924441007,220_155,1561945.4099999997,33860.0
91,2023-08-01,394448.64642594266,220_155,,2515985.0
92,2023-09-01,495821.4642563275,220_155,,449519.0
93,2023-10-01,514391.3864729119,220_155,,3600383.0
94,2023-11-01,481880.9134689133,220_155,,2035012.0
95,2023-12-01,463731.31220200274,220_155,,130069.0
96,2023-01-01,1772.8992266287614,220_310,34080.109233153744,114912.0
97,2023-02-01,58518.688506803446,220_310,-3809.2797369994,
98,2023-03-01,13537.97629679322,220_310,-14360.640883977901,35095.0
99,2023-04-01,49085.37249199322,220_310,-965.6730769230767,261010.0
100,2023-05-01,20711.708043510513,220_310,76550.8044280443,
101,2023-06-01,43789.49447797288,220_310,-1226.7559020372141,281.0
102,2023-07-01,24378.504323715646,220_310,134507.95531738253,
103,2023-08-01,40712.26231062669,220_310,,
104,2023-09-01,27057.37766669959,220_310,,276058.0
105,2023-10-01,38766.67910158917,220_310,,
106,2023-11-01,29051.30304171065,220_310,,309389.0
107,2023-12-01,37605.69216544761,220_310,,35473.0
108,2023-01-01,3903232.0539047616,240_155,4129765.0700000008,5216550.0
109,2023-02-01,4073408.0839047614,240_155,5235253.75,5333064.0
110,2023-03-01,4982648.708904763,240_155,5939778.529999999,7183387.0
111,2023-04-01,5487781.841809525,240_155,5453369.359999999,9731791.0
112,2023-05-01,5691686.1199523825,240_155,12676724.6,10834189.0
113,2023-06-01,5224453.189428573,240_155,15166230.92,12518042.0
114,2023-07-01,4673215.164190477,240_155,7945616.33,8322015.0
115,2023-08-01,4668578.701666667,240_155,,5446687.0
116,2023-09-01,4372133.246809524,240_155,,5373043.0
117,2023-10-01,3858659.0844285707,240_155,,5376636.0
118,2023-11-01,3860117.628999999,240_155,,5295121.0
119,2023-12-01,3939117.309285714,240_155,,5313648.0
120,2023-01-01,6559294.3750158865,250_155,2447080.58,5207904.0
121,2023-02-01,4917009.9568238165,250_155,2383992.34,5919467.0
122,2023-03-01,4917053.664596645,250_155,3940945.16,5597480.0
123,2023-04-01,8221909.943572938,250_155,3402514.8000000003,7539094.0
124,2023-05-01,9822767.412228594,250_155,5102570.96,7872216.0
125,2023-06-01,9582039.537221758,250_155,7775198.39,9566028.0
126,2023-07-01,8643456.42855306,250_155,7465892.71,5706559.0
127,2023-08-01,10082633.373759087,250_155,,5356667.0
128,2023-09-01,8878633.073148524,250_155,,11681144.0
129,2023-10-01,12964733.818991227,250_155,,19007432.0
130,2023-11-01,10780933.332341284,250_155,,15204628.0
131,2023-12-01,6679723.578120434,250_155,,8479907.0
132,2023-01-01,24949.0544324011,250_165,-2676.4388415322846,44682.0
133,2023-02-01,24949.0544324011,250_165,-26077.65529887081,43345.0
