,MONTH,PRED,DEP_ENT,Model,NET_SALES,BUDGET_AMOUNT
0,2023-01-01,2545478.5632,160_155,Auto ARIMA,348377.71,1803054.0
1,2023-02-01,2545478.5632,160_155,Auto ARIMA,1525791.25,2406568.0
2,2023-03-01,2545478.5632,160_155,Auto ARIMA,2648784.61,3063600.0
3,2023-04-01,2545478.5632,160_155,Auto ARIMA,1516571.07,1647798.0
4,2023-05-01,2545478.5632,160_155,Auto ARIMA,2353503.7500000005,2748073.0
5,2023-06-01,2545478.5632,160_155,Auto ARIMA,4064730.7600000002,2668244.0
6,2023-07-01,2545478.5632,160_155,Auto ARIMA,1216845.0699999998,3253936.0
7,2023-08-01,2545478.5632,160_155,Auto ARIMA,,2751846.0
8,2023-09-01,2545478.5632,160_155,Auto ARIMA,,2679796.0
9,2023-10-01,2545478.5632,160_155,Auto ARIMA,,2893862.0
10,2023-11-01,2545478.5632,160_155,Auto ARIMA,,3729928.0
11,2023-12-01,2545478.5632,160_155,Auto ARIMA,,4453352.0
12,2023-01-01,3795074.8731,170_155,Auto ARIMA,3897568.1899999995,4148059.0
13,2023-02-01,3987849.0094,170_155,Auto ARIMA,6929949.290000001,4246807.0
14,2023-03-01,3446897.4769,170_155,Auto ARIMA,4931564.41,4294388.0
15,2023-04-01,3436114.828,170_155,Auto ARIMA,3475834.79,4337011.0
16,2023-05-01,3657680.7431,170_155,Auto ARIMA,4453374.39,4341771.0
17,2023-06-01,3608218.2204,170_155,Auto ARIMA,3509837.4899999998,3962499.0
18,2023-07-01,3476036.5287,170_155,Auto ARIMA,3788105.6599999997,4022909.0
19,2023-08-01,3481329.7432,170_155,Auto ARIMA,,3971927.0
20,2023-09-01,3526401.6526,170_155,Auto ARIMA,,4179161.0
21,2023-10-01,3509415.9186,170_155,Auto ARIMA,,4066182.0
22,2023-11-01,3476979.3718,170_155,Auto ARIMA,,4079737.0
23,2023-12-01,3476028.328,170_155,Auto ARIMA,,4015308.0
24,2023-01-01,2172645.2525,200_155,ETS,1622113.58,2025479.0
25,2023-02-01,1920246.1866,200_155,ETS,1728206.0199999998,2327117.0
26,2023-03-01,2525463.5689,200_155,ETS,2325654.2399999998,2980330.0
27,2023-04-01,2570132.4375,200_155,ETS,1918474.98,2413713.0
28,2023-05-01,2748812.8667,200_155,ETS,2443940.1399999997,2287061.0
29,2023-06-01,2082419.0014,200_155,ETS,1748262.3,2930306.0
30,2023-07-01,2040873.4912,200_155,ETS,1897662.8899999997,1699464.0
31,2023-08-01,2430898.2977,200_155,ETS,,2286485.0
32,2023-09-01,2829157.4388,200_155,ETS,,3728896.0
33,2023-10-01,1400268.7866,200_155,ETS,,1980287.0
34,2023-11-01,2586512.9838,200_155,ETS,,4806032.0
35,2023-12-01,3409158.7445,200_155,ETS,,4178062.0
36,2023-01-01,413746.1122,200_310,Seasonal Naive Forecaster,182779.60735109603,277530.0
37,2023-02-01,391050.5831,200_310,Seasonal Naive Forecaster,178552.07710699338,313641.0
38,2023-03-01,533340.2465,200_310,Seasonal Naive Forecaster,226862.7697974217,259441.0
39,2023-04-01,624154.662,200_310,Seasonal Naive Forecaster,222637.23372781056,346038.0
40,2023-05-01,677179.2247,200_310,Seasonal Naive Forecaster,296710.8856088562,262986.0
41,2023-06-01,226458.9576,200_310,Seasonal Naive Forecaster,175656.0050011032,290286.0
42,2023-07-01,269819.95,200_310,Seasonal Naive Forecaster,201365.8917654164,229854.0
43,2023-08-01,425862.5261,200_310,Seasonal Naive Forecaster,,262730.0
44,2023-09-01,672520.1492,200_310,Seasonal Naive Forecaster,,400874.0
45,2023-10-01,265349.7883,200_310,Seasonal Naive Forecaster,,274206.0
46,2023-11-01,417237.8058,200_310,Seasonal Naive Forecaster,,479747.0
47,2023-12-01,571900.7222,200_310,Seasonal Naive Forecaster,,550468.0
48,2023-01-01,8466846.3704,210_155,DecisionTreeRegressor,4061428.5300000003,6510150.0
49,2023-02-01,2521691.2174,210_155,DecisionTreeRegressor,6204353.87,4631525.0
