,DEP_ENT,MONTH,NET_SALES
1,200_155,2023-03-01,2325654.2399999998
2,160_155,2023-03-01,2648784.61
3,220_155,2021-09-01,3221520.5600000005
4,250_165,2021-06-01,17602.007033408863
5,210_155,2018-11-01,11928914.959999999
6,240_155,2019-05-01,5259724.5
7,200_155,2022-08-01,1953652.6099999996
8,260_155,2022-04-01,3220.4099999999994
9,160_155,2020-08-01,2394048.09
10,240_155,2021-08-01,6287198.05
11,220_310,2023-08-01,9522.372293065717
12,200_155,2019-10-01,1522283.2499999995
13,250_310,2019-02-01,48641.78480489589
14,220_310,2017-09-01,-99852.02472462157
15,200_310,2020-10-01,362919.6085754835
16,250_155,2020-07-01,5489644.100000001
17,250_310,2023-04-01,218007.09583283876
18,200_155,2016-04-01,2163636.39
19,170_155,2016-06-01,3836732.4600000004
20,210_155,2018-06-01,4328053.96
21,220_155,2017-11-01,1772544.8499999999
22,200_310,2016-05-01,36951.86040952913
23,210_155,2017-12-01,6770589.780000001
24,220_310,2022-11-01,4949.014705882355
26,200_155,2018-07-01,1500893.07
27,210_155,2022-10-01,4095727.6999999993
28,220_310,2020-10-01,431195.42840068706
29,210_165,2020-11-01,555304.8351518577
30,220_310,2021-12-01,-6943.596862929811
31,260_155,2022-08-01,3398.9300000000003
32,240_155,2022-02-01,5226840.89
33,200_310,2016-04-01,27159.842641160132
34,200_310,2022-08-01,219711.28742280937
35,250_155,2022-09-01,12275967.699999997
36,250_155,2022-08-01,6357307.1899999995
37,170_155,2021-04-01,2800581.01
38,170_155,2023-05-01,4453374.39
39,170_155,2021-12-01,2887961.2699999996
40,260_155,2022-03-01,3212.5099999999993
41,240_155,2019-10-01,4596602.11
42,250_310,2019-06-01,569867.7415446782
43,250_165,2019-02-01,110.39062908539393
44,260_155,2021-02-01,2689.44
45,210_165,2023-07-01,343494.10620740295
46,170_155,2018-11-01,3850446.9
47,210_310,2016-07-01,1272045.4277809572
48,250_310,2016-05-01,304651.66026611417
49,200_155,2023-05-01,2443940.1399999997
50,200_310,2023-01-01,182779.607351096
51,260_155,2022-10-01,2673.5199999999995
52,170_155,2020-07-01,2376793.6799999997
53,210_165,2022-04-01,786379.007856571
54,200_155,2022-11-01,4112404.0300000003
55,170_155,2023-08-01,2969580.5699999994
56,220_310,2023-09-01,-1938.112482447712
57,170_155,2016-02-01,4135754.8099999996
58,260_155,2021-05-01,5819.030000000002
59,210_155,2016-08-01,5626725.619999999
60,240_155,2019-06-01,4696967.92
61,170_155,2018-12-01,2777941.5199999996
62,200_155,2017-04-01,1808462.2999999998
63,200_155,2022-12-01,2913744.15
64,210_155,2022-05-01,1288321.1900000009
65,240_155,2020-07-01,4848840.53
