,DEPARTMENT,ENTITY,DEP_ENT,BUDGET_AMOUNT,MONTH
0,210,155,210_155,13174925,2016-04-01
1,240,155,240_155,4630752,2019-12-01
2,210,165,210_165,792197,2018-05-01
3,200,310,200_310,328603,2020-02-01
4,250,310,250_310,403480,2019-06-01
5,210,310,210_310,1803905,2019-05-01
6,200,155,200_155,4806032,2023-11-01
7,200,155,200_155,2413713,2023-04-01
8,260,155,260_155,5000,2022-11-01
9,250,155,250_155,19007432,2023-10-01
10,160,155,160_155,3131721,2022-12-01
11,200,155,200_155,1734650,2019-11-01
12,220,155,220_155,750950,2023-03-01
13,260,155,260_155,5000,2022-04-01
14,210,165,210_165,629943,2017-10-01
15,160,155,160_155,2748073,2023-05-01
16,200,155,200_155,2500318,2016-03-01
17,220,310,220_310,73588,2020-01-01
18,250,310,250_310,521029,2023-06-01
19,210,155,210_155,7036356,2023-11-01
20,220,310,220_310,362720,2022-08-01
21,200,310,200_310,274206,2023-10-01
22,160,155,160_155,3122287,2022-09-01
23,210,310,210_310,2451259,2017-02-01
24,210,310,210_310,1249552,2022-06-01
25,160,155,160_155,3666569,2022-03-01
26,210,310,210_310,464085,2023-02-01
27,200,310,200_310,275627,2020-07-01
28,200,155,200_155,2287061,2023-05-01
29,240,155,240_155,4094167,2018-11-01
30,250,310,250_310,482045,2022-01-01
31,220,155,220_155,505503,2020-09-01
32,200,310,200_310,208844,2020-03-01
33,210,155,210_155,4052298,2019-08-01
34,170,155,170_155,2696301,2018-02-01
35,250,155,250_155,8316655,2017-03-01
36,200,310,200_310,98971,2016-02-01
37,200,155,200_155,4000000,2017-08-01
38,160,155,160_155,4065992,2017-06-01
39,210,155,210_155,19970649,2018-05-01
40,240,155,240_155,6207969,2019-04-01
41,210,310,210_310,-90763,2020-07-01
42,160,155,160_155,3253936,2023-07-01
43,170,155,170_155,4179161,2023-09-01
44,200,310,200_310,453593,2022-10-01
45,170,155,170_155,3768000,2019-11-01
46,200,155,200_155,3730536,2022-11-01
47,250,310,250_310,268182,2020-04-01
48,250,310,250_310,755640,2018-04-01
49,240,155,240_155,4198000,2017-02-01
50,160,155,160_155,3226292,2019-11-01
51,210,165,210_165,549984,2016-06-01
52,160,155,160_155,3424521,2017-01-01
53,200,310,200_310,106521,2016-05-01
54,220,310,220_310,309389,2023-11-01
55,250,310,250_310,209098,2020-07-01
56,220,310,220_310,86118,2022-03-01
57,200,155,200_155,2025479,2023-01-01
58,210,165,210_165,468893,2019-08-01
59,210,310,210_310,2121069,2016-07-01
60,210,310,210_310,3281223,2017-11-01
61,160,155,160_155,2528272,2016-12-01
62,220,155,220_155,232807,2017-02-01
63,210,155,210_155,7925758,2019-11-01
64,200,155,200_155,2671783,2022-10-01
65,260,155,260_155,4000,2020-06-01
66,210,310,210_310,3447339,2016-03-01
67,160,155,160_155,2288752,2019-05-01
68,220,310,220_310,518750,2020-07-01
69,160,155,160_155,3729928,2023-11-01
70,160,155,160_155,2397321,2017-11-01
71,160,155,160_155,2406568,2023-02-01
72,240,155,240_155,4956681,2019-07-01
73,200,310,200_310,260000,2020-01-01
74,200,310,200_310,96875,2016-06-01
75,200,155,200_155,4410599,2018-11-01
76,220,155,220_155,1302935,2016-07-01
77,210,165,210_165,1523039,2018-04-01
78,210,155,210_155,11017109,2018-09-01
79,200,155,200_155,3042662,2022-07-01
80,210,310,210_310,1236831,2022-03-01
81,250,310,250_310,408393,2023-05-01
82,250,155,250_155,6553869,2017-09-01
83,210,310,210_310,2466063,2017-07-01
84,170,155,170_155,3756368,2018-07-01
85,200,155,200_155,2525913,2016-08-01
86,170,155,170_155,3788247,2020-10-01
87,250,155,250_155,6620691,2016-12-01
88,220,155,220_155,4713394,2020-08-01
89,160,155,160_155,1859665,2018-02-01
90,210,310,210_310,4218084,2018-06-01
91,210,310,210_310,1168307,2022-04-01
92,170,155,170_155,3901533,2020-03-01
93,170,155,170_155,3557048,2022-03-01
94,210,155,210_155,4428616,2019-07-01
95,240,155,240_155,5932601,2018-03-01
96,200,155,200_155,7004424,2022-12-01
97,240,155,240_155,5290848,2019-03-01
98,250,310,250_310,926791,2018-11-01
99,250,155,250_155,3906935,2020-02-01
100,210,155,210_155,11661842,2018-06-01
101,200,155,200_155,1424363,2019-08-01
102,160,155,160_155,3101093,2022-06-01
103,210,165,210_165,837305,2019-10-01
104,210,155,210_155,5127716,2018-02-01
105,200,310,200_310,202195,2019-08-01
106,250,155,250_155,15204628,2023-11-01
107,170,155,170_155,4294388,2023-03-01
108,250,310,250_310,557696,2018-07-01
109,220,155,220_155,1277373,2016-05-01
110,250,155,250_155,5135117,2019-06-01
111,210,155,210_155,10970804,2022-04-01
112,250,165,250_165,60919,2023-11-01
113,200,155,200_155,2563996,2016-06-01
114,160,155,160_155,3287833,2017-04-01
115,170,155,170_155,3734118,2022-09-01
116,210,310,210_310,2492466,2016-05-01
117,160,155,160_155,830072,2020-03-01
118,240,155,240_155,9731791,2023-04-01
119,210,155,210_155,9902037,2022-07-01
120,160,155,160_155,5292478,2017-08-01
121,200,155,200_155,3363623,2020-12-01
122,170,155,170_155,4320432,2020-04-01
123,160,155,160_155,7003152,2017-07-01
124,200,155,200_155,3900000,2017-06-01
125,170,155,170_155,4817000,2019-06-01
126,210,165,210_165,629943,2017-09-01
127,250,155,250_155,5939097,2022-01-01
128,170,155,170_155,4337011,2023-04-01
129,170,155,170_155,3557708,2022-02-01
130,170,155,170_155,3137100,2017-01-01
131,160,155,160_155,4376736,2022-04-01
132,250,165,250_165,43345,2023-08-01
133,200,155,200_155,4650000,2017-01-01
134,200,155,200_155,3900000,2017-03-01
135,210,165,210_165,421641,2017-03-01
136,170,155,170_155,3724108,2022-06-01
137,220,155,220_155,5847179,2019-01-01
138,200,310,200_310,290286,2023-06-01
139,250,310,250_310,289374,2019-09-01
140,210,155,210_155,5513533,2020-08-01
141,170,155,170_155,4264000,2019-05-01
142,210,155,210_155,7314180,2020-12-01
143,240,155,240_155,4818571,2020-01-01
144,210,155,210_155,11399967,2016-02-01
145,210,165,210_165,629943,2017-08-01
146,210,165,210_165,1250432,2018-12-01
147,170,155,170_155,3962499,2023-06-01
148,210,165,210_165,193983,2023-03-01
149,240,155,240_155,4480200,2017-07-01
150,210,155,210_155,13781362,2017-05-01
151,210,310,210_310,890318,2020-05-01
152,210,310,210_310,1330384,2020-09-01
153,210,155,210_155,8891519,2019-04-01
154,250,310,250_310,362586,2019-04-01
155,160,155,160_155,2631161,2016-03-01
156,220,310,220_310,9438,2019-12-01
157,250,310,250_310,541328,2018-06-01
158,220,310,220_310,422205,2022-01-01
159,200,155,200_155,3616168,2016-11-01
160,200,155,200_155,1759854,2020-08-01
161,260,155,260_155,4000,2020-04-01
162,220,155,220_155,41902,2018-08-01
163,160,155,160_155,2751846,2023-08-01
164,260,155,260_155,4000,2020-07-01
165,170,155,170_155,4091479,2020-09-01
166,210,310,210_310,1204952,2019-12-01
167,200,155,200_155,2588532,2018-09-01
168,250,155,250_155,7029573,2022-12-01
169,220,155,220_155,232217,2023-02-01
170,170,155,170_155,3243643,2020-12-01
171,250,155,250_155,9307067,2022-09-01
172,200,155,200_155,2819310,2016-05-01
173,250,155,250_155,4203457,2020-04-01
174,200,155,200_155,3531184,2022-04-01
175,220,310,220_310,281,2023-06-01
176,250,155,250_155,6184842,2022-07-01
177,210,310,210_310,1681287,2020-11-01
178,220,155,220_155,263990,2016-12-01
179,210,165,210_165,697185,2019-09-01
180,210,165,210_165,421641,2017-02-01
181,210,165,210_165,537239,2023-12-01
182,240,155,240_155,5904694,2022-04-01
183,250,155,250_155,6925790,2018-08-01
184,200,310,200_310,213687,2020-04-01
185,240,155,240_155,12518042,2023-06-01
186,160,155,160_155,1838000,2020-01-01
187,200,155,200_155,1750610,2019-06-01
188,260,155,260_155,2800,2023-12-01
189,200,310,200_310,306005,2022-08-01
190,220,155,220_155,4568859,2018-10-01
191,220,310,220_310,38386,2020-08-01
192,240,155,240_155,3354390,2016-09-01
193,240,155,240_155,3384600,2017-12-01
194,260,155,260_155,2800,2023-03-01
195,210,165,210_165,480285,2019-02-01
196,160,155,160_155,4325784,2020-11-01
197,200,310,200_310,524171,2019-12-01
198,250,155,250_155,4676158,2019-03-01
199,200,155,200_155,1731000,2020-01-01
200,220,155,220_155,98415,2022-12-01
201,210,310,210_310,1050635,2019-02-01
202,250,310,250_310,693555,2022-07-01
203,240,155,240_155,5298000,2017-05-01
204,200,310,200_310,234064,2020-10-01
205,210,165,210_165,538232,2023-09-01
206,200,310,200_310,319648,2020-06-01
207,210,165,210_165,580290,2023-11-01
208,220,155,220_155,212390,2023-06-01
209,210,155,210_155,6155140,2017-01-01
210,210,155,210_155,11509601,2016-03-01
211,220,155,220_155,33860,2023-07-01
212,210,165,210_165,521186,2018-01-01
213,210,165,210_165,595958,2016-04-01
214,260,155,260_155,4000,2020-08-01
215,210,155,210_155,16056437,2018-04-01
