,ds,yhat1,yhat1 5.0%,yhat1 95.0%,ID,y,BUDGET_AMOUNT
0,2023-01-01,2428104.75,1737417.25,3174326.5,160_155,348377.70999999996,1803054.0
1,2023-02-01,1868327.25,957397.375,2472635.0,160_155,1525791.25,2406568.0
2,2023-03-01,2545768.0,1383284.0,3371191.25,160_155,2648784.6100000003,3063600.0
3,2023-04-01,2109629.5,1508622.25,2302777.0,160_155,1516571.0700000003,1647798.0
4,2023-05-01,2521644.75,2007412.625,2722897.0,160_155,2353503.7500000005,2748073.0
5,2023-06-01,2590884.0,2160124.0,2947640.0,160_155,4064730.7600000002,2668244.0
6,2023-07-01,3060192.25,2716981.0,3060192.25,160_155,1216845.0699999998,3253936.0
7,2023-08-01,2430378.5,2009746.875,2831756.25,160_155,,2751846.0
8,2023-09-01,2183953.5,1624583.125,2183953.5,160_155,,2679796.0
9,2023-10-01,2290636.5,1563499.0,2290636.5,160_155,,2893862.0
10,2023-11-01,2339707.75,1762079.75,2339707.75,160_155,,3729928.0
11,2023-12-01,2645803.5,1798917.375,3626083.75,160_155,,4453352.0
12,2023-01-01,4509799.0,3768866.0,5038490.0,170_155,3897568.19,4148059.0
13,2023-02-01,4707057.0,3608957.0,5705096.0,170_155,6929949.29,4246807.0
14,2023-03-01,4958805.0,3945688.0,6274034.0,170_155,4931564.41,4294388.0
15,2023-04-01,4639759.0,3718295.5,5825562.5,170_155,3475834.79,4337011.0
16,2023-05-01,4696997.5,3558041.0,5674479.5,170_155,4453374.39,4341771.0
17,2023-06-01,5067689.5,4257728.5,5772104.0,170_155,3509837.4899999998,3962499.0
18,2023-07-01,4620056.0,3312569.5,5429321.0,170_155,3788105.66,4022909.0
19,2023-08-01,5297203.5,3970787.5,6944165.0,170_155,,3971927.0
20,2023-09-01,4534658.5,3173656.5,5333751.5,170_155,,4179161.0
21,2023-10-01,4627914.0,3523195.5,5608727.5,170_155,,4066182.0
22,2023-11-01,4852583.0,3765564.0,6105504.0,170_155,,4079737.0
23,2023-12-01,4350405.5,3282094.0,5607066.0,170_155,,4015308.0
24,2023-01-01,1685400.375,1184438.625,2271383.0,200_155,1622113.58,2025479.0
25,2023-02-01,1397737.625,817229.25,2055817.5,200_155,1728206.02,2327117.0
26,2023-03-01,1802065.25,1262672.375,2586471.5,200_155,2325654.24,2980330.0
27,2023-04-01,1944689.5,1342885.25,2806889.75,200_155,1918474.98,2413713.0
28,2023-05-01,2368870.5,1619170.375,3992087.25,200_155,2443940.14,2287061.0
29,2023-06-01,1428048.625,885182.625,2005789.25,200_155,1748262.3000000003,2930306.0
30,2023-07-01,1349650.75,689305.8125,1884226.5,200_155,1897662.8899999997,1699464.0
31,2023-08-01,1458238.0,848755.5,2249251.75,200_155,,2286485.0
32,2023-09-01,2022898.125,998127.0,2996816.75,200_155,,3728896.0
33,2023-10-01,592956.375,-93407.5,1274203.75,200_155,,1980287.0
34,2023-11-01,2018282.0,1126962.375,3265487.25,200_155,,4806032.0
35,2023-12-01,3403447.25,2403662.0,4201596.5,200_155,,4178062.0
36,2023-01-01,130589.421875,98863.0234375,186907.546875,200_310,182779.60735109597,277530.0
37,2023-02-01,75754.609375,7350.974609375,144485.078125,200_310,178552.07710699338,313641.0
38,2023-03-01,119756.875,90095.515625,152109.53125,200_310,226862.76979742167,259441.0
39,2023-04-01,213440.453125,115501.875,284365.375,200_310,222637.23372781056,346038.0
40,2023-05-01,265661.59375,113859.1953125,527635.875,200_310,296710.8856088562,262986.0
41,2023-06-01,49300.046875,-70681.8046875,116144.734375,200_310,175656.00500110319,290286.0
42,2023-07-01,38964.4375,-30134.326171875,61285.875,200_310,201365.8917654164,229854.0
43,2023-08-01,47272.7734375,14222.5,80043.296875,200_310,,262730.0
44,2023-09-01,97232.2578125,-23906.392578125,248149.890625,200_310,,400874.0
45,2023-10-01,-36440.59375,-58205.28125,21143.59375,200_310,,274206.0
46,2023-11-01,39175.375,-25518.833984375,201534.390625,200_310,,479747.0
47,2023-12-01,250429.96875,71829.609375,434383.78125,200_310,,550468.0
48,2023-01-01,524034.25,-2354644.75,2874579.5,210_155,4061428.5300000007,6510150.0
49,2023-02-01,3188181.75,1546828.125,5030766.5,210_155,6204353.87,4631525.0
50,2023-03-01,3967630.0,459914.3125,6157066.0,210_155,5973971.860000001,6887883.0
51,2023-04-01,9104994.0,4103013.75,11153912.0,210_155,5560797.29,7108739.0
52,2023-05-01,-831107.0625,-2706885.25,-98072.3125,210_155,4008775.4300000006,5308974.0
53,2023-06-01,1678368.625,-766282.0,3998363.0,210_155,2741890.2399999998,5559823.0
54,2023-07-01,-340575.75,-1801016.875,484904.5,210_155,3197587.39,5004554.0
55,2023-08-01,1799070.75,288243.6875,2686536.75,210_155,,5812184.0
56,2023-09-01,2133086.25,-104852.109375,3155927.25,210_155,,5786571.0
57,2023-10-01,1408194.875,-1440397.75,3154329.0,210_155,,5239358.0
58,2023-11-01,5676672.0,765220.5,7432767.5,210_155,,7036356.0
59,2023-12-01,2371490.5,-615357.0625,4798760.5,210_155,,4009407.0
60,2023-01-01,58650.53125,-237840.46875,89762.6875,210_165,91654.86956968198,220798.0
61,2023-02-01,134582.90625,17279.875,255513.875,210_165,206148.8001449829,338659.0
62,2023-03-01,303359.0,220009.1875,479594.4375,210_165,1264241.3405994668,193983.0
63,2023-04-01,834883.5625,475009.0,1152309.75,210_165,570261.6989378147,786089.0
64,2023-05-01,322820.25,322820.25,432949.375,210_165,1098155.3470522887,526626.0
65,2023-06-01,88589.15625,-182543.953125,292546.25,210_165,233968.02867992857,562406.0
66,2023-07-01,-24684.53125,-154407.71875,6248.625,210_165,343494.106207403,537277.0
67,2023-08-01,527562.25,461211.4375,569997.9375,210_165,,450948.0
68,2023-09-01,375087.5625,87105.0625,604358.625,210_165,,538232.0
69,2023-10-01,357696.875,217285.0625,565833.4375,210_165,,795803.0
70,2023-11-01,737842.9375,512784.8125,1144897.0,210_165,,580290.0
71,2023-12-01,366516.9375,34941.84375,484330.75,210_165,,537239.0
72,2023-01-01,174503.25,-478525.15625,1114525.25,210_310,-174973.31892833326,355862.0
73,2023-02-01,290835.875,-436298.9375,1360257.0,210_310,487324.49340107554,464085.0
74,2023-03-01,332186.5,-340664.84375,1260880.0,210_310,-2518.856473665254,490025.0
75,2023-04-01,1050101.5,623092.125,1868273.125,210_310,1184231.290807692,907541.0
